id,model,mode,bleu,chrf,rouge_l
EX-0001,your_model,base,58.643275241650834,,
EX-0001,your_model,instr,60.395745776927015,,
EX-0002,your_model,base,35.725221457011145,,
EX-0002,your_model,instr,45.94387792124753,,
EX-0003,your_model,base,63.014550687807706,,
EX-0003,your_model,instr,63.014550687807706,,
EX-0004,your_model,base,56.989686997411816,,
EX-0004,your_model,instr,58.643275241650834,,
EX-0006,your_model,base,40.95821416208051,,
EX-0006,your_model,instr,70.60374899223851,,
EX-0007,your_model,base,1.5210995644379717,,
EX-0007,your_model,instr,6.7602298845717375,,
EX-0008,your_model,base,2.6711961764401657,,
EX-0008,your_model,instr,2.2869567780619007,,
EX-0010,your_model,base,0.9243411456936732,,
EX-0010,your_model,instr,2.445593937240363,,
EX-0011,your_model,base,0.0,,
EX-0011,your_model,instr,0.0,,
EX-0012,your_model,base,0.6837686331771671,,
EX-0012,your_model,instr,1.184949136625139,,
EX-0013,your_model,base,8.829928855463525,,
EX-0013,your_model,instr,3.197383344450448,,
EX-0014,your_model,base,1.6504045595709422,,
EX-0014,your_model,instr,4.048892532133102,,
EX-0015,your_model,base,1.1599713834969505,,
EX-0015,your_model,instr,1.5061893230938672,,
EX-0017,your_model,base,17.77835117834348,,
EX-0017,your_model,instr,0.0,,
EX-0018,your_model,base,1.6466642419110007,,
EX-0018,your_model,instr,1.5061893230938672,,
EX-0019,your_model,base,58.643275241650834,,
EX-0019,your_model,instr,68.12455364200612,,
EX-0020,your_model,base,44.003907261254405,,
EX-0020,your_model,instr,41.94435452325487,,
EX-0021,your_model,base,63.014550687807706,,
EX-0021,your_model,instr,63.014550687807706,,
EX-0022,your_model,base,58.643275241650834,,
EX-0022,your_model,instr,68.25064500223314,,
EX-0023,your_model,base,67.44322250214192,,
EX-0023,your_model,instr,67.44322250214192,,
EX-0024,your_model,base,37.18932461852837,,
EX-0024,your_model,instr,42.63678100421447,,
EX-0025,your_model,base,1.7044905731413862,,
EX-0025,your_model,instr,2.371785887867442,,
EX-0026,your_model,base,0.0,,
EX-0026,your_model,instr,2.485828141410168,,
EX-0027,your_model,base,0.0,,
EX-0027,your_model,instr,0.9964194812460634,,
EX-0028,your_model,base,0.0,,
EX-0028,your_model,instr,2.0540268312306345,,
EX-0029,your_model,base,0.0,,
EX-0029,your_model,instr,0.0,,
EX-0030,your_model,base,0.5162051047489141,,
EX-0030,your_model,instr,0.0,,
EX-0031,your_model,base,8.829928855463525,,
EX-0031,your_model,instr,2.319942766993901,,
EX-0032,your_model,base,4.012187763745914,,
EX-0032,your_model,instr,4.019656738893367,,
EX-0033,your_model,base,0.0,,
EX-0033,your_model,instr,1.286713095960916,,
EX-0034,your_model,base,1.6466642419110007,,
EX-0034,your_model,instr,1.6466642419110007,,
EX-0035,your_model,base,16.451929399933107,,
EX-0035,your_model,instr,3.089055318156697,,
EX-0036,your_model,base,1.5732934811145336,,
EX-0036,your_model,instr,1.5061893230938672,,
EX-0038,your_model,base,65.42581046386209,,
EX-0038,your_model,instr,41.94435452325487,,
EX-0040,your_model,base,56.989686997411816,,
EX-0040,your_model,instr,68.25064500223314,,
EX-0042,your_model,base,40.980718102638114,,
EX-0042,your_model,instr,42.63678100421447,,
EX-0043,your_model,base,3.097717033891348,,
EX-0043,your_model,instr,4.78968583748614,,
EX-0044,your_model,base,5.964725726909486,,
EX-0044,your_model,instr,4.048892532133102,,
EX-0045,your_model,base,0.7772751558853214,,
EX-0045,your_model,instr,0.0,,
EX-0046,your_model,base,1.123099644603982,,
EX-0046,your_model,instr,1.7179060012299232,,
EX-0047,your_model,base,0.0,,
EX-0047,your_model,instr,0.0,,
EX-0048,your_model,base,0.5572983805572274,,
EX-0048,your_model,instr,0.0,,
EX-0049,your_model,base,1.664356790958625,,
EX-0049,your_model,instr,6.814385179012219,,
EX-0050,your_model,base,8.175340974854192,,
EX-0050,your_model,instr,2.4092489848483227,,
EX-0051,your_model,base,1.3353534059549443,,
EX-0051,your_model,instr,1.387819277861591,,
EX-0054,your_model,base,1.5061893230938672,,
EX-0054,your_model,instr,1.5061893230938672,,
EX-0056,your_model,base,49.948175834030174,,
EX-0056,your_model,instr,68.12455364200612,,
EX-0058,your_model,base,65.42581046386209,,
EX-0058,your_model,instr,68.25064500223314,,
EX-0059,your_model,base,65.15366202853994,,
EX-0059,your_model,instr,66.79000013630314,,
EX-0060,your_model,base,15.310245441182436,,
EX-0060,your_model,instr,14.317123154555068,,
