[1/50] id=EX-0007 latency=38277ms
[2/50] id=EX-0001 latency=8820ms
[3/50] id=EX-0025 latency=12097ms
[4/50] id=EX-0017 latency=3670ms
[5/50] id=EX-0023 latency=10358ms
[6/50] id=EX-0035 latency=4848ms
[7/50] id=EX-0051 latency=24396ms
[8/50] id=EX-0021 latency=7904ms
[9/50] id=EX-0060 latency=5160ms
[10/50] id=EX-0046 latency=12105ms
[11/50] id=EX-0010 latency=6636ms
[12/50] id=EX-0034 latency=5657ms
[13/50] id=EX-0054 latency=6084ms
[14/50] id=EX-0036 latency=5913ms
[15/50] id=EX-0018 latency=5617ms
[16/50] id=EX-0058 latency=6981ms
[17/50] id=EX-0022 latency=7445ms
[18/50] id=EX-0040 latency=6807ms
[19/50] id=EX-0056 latency=9160ms
[20/50] id=EX-0038 latency=8756ms
[21/50] id=EX-0002 latency=8392ms
[22/50] id=EX-0042 latency=7360ms
[23/50] id=EX-0024 latency=7149ms
[24/50] id=EX-0006 latency=9939ms
[25/50] id=EX-0043 latency=12950ms
[26/50] id=EX-0019 latency=9110ms
[27/50] id=EX-0029 latency=16126ms
[28/50] id=EX-0059 latency=8845ms
[29/50] id=EX-0045 latency=12528ms
[30/50] id=EX-0033 latency=14686ms
[31/50] id=EX-0013 latency=14664ms
[32/50] id=EX-0049 latency=13252ms
[33/50] id=EX-0031 latency=18844ms
[34/50] id=EX-0011 latency=12801ms
[35/50] id=EX-0047 latency=14411ms
[36/50] id=EX-0003 latency=10628ms
[37/50] id=EX-0015 latency=15028ms
[38/50] id=EX-0027 latency=1496ms
[39/50] id=EX-0020 latency=9060ms
[40/50] id=EX-0032 latency=5859ms
[41/50] id=EX-0014 latency=5421ms
[42/50] id=EX-0004 latency=8944ms
[43/50] id=EX-0026 latency=51605ms
[44/50] id=EX-0008 latency=5987ms
[45/50] id=EX-0050 latency=6593ms
[46/50] id=EX-0044 latency=5591ms
[47/50] id=EX-0030 latency=7002ms
[48/50] id=EX-0012 latency=9575ms
[49/50] id=EX-0048 latency=11091ms
[50/50] id=EX-0028 latency=7728ms
[OK] wrote results\raw\outputs_gemma_instruct.jsonl (n=50)
